LOWER CASE FORM
,,18,Total=18

051,051,1,Total=1

1,1,1,Total=1

13,13,1,Total=1

130,130,1,Total=1

15,15,2,Total=2

18,18,1,Total=1

2,2,1,Total=1

2013,2013,1,Total=1

21,21,1,Total=1

23,23,1,Total=1

24,24,1,Total=1

25,25,1,Total=1

3,3,1,Total=1

33,33,2,Total=2

4,4,1,Total=1

413,413,1,Total=1

43,43,1,Total=1

45320,45320,1,Total=1

5,5,2,Total=2

53,53,1,Total=1

6,6,1,Total=1

66,66,1,Total=1

7,7,1,Total=1

8,8,2,Total=2

9,9,1,Total=1

90642057,90642057,1,Total=1

92,92,1,Total=1

accreditation,Accreditation,1,Total=1

accredited,accredited,1,Total=1

admissions,Admissions,2,Total=2

affecting,affecting,1,Total=1

algebra,Algebra,1,Total=1

algebra3,Algebra3,1,Total=1

algorithms3,Algorithms3,1,Total=1

allow,allow,1,Total=1

analysis,Analysis,2,Total=2

analytical,Analytical,4,Total=4

application,Application,4,Total=4

applications,Applications,1,Total=1

architecture,Architecture,1,Total=1

artificial,Artificial,2,Total=2

assembly,Assembly,1,Total=1

assurance,Assurance,1,Total=1

automata3,Automata3,1,Total=1

balance,balance,1,Total=1

based,Based,1,based,1,Total=2

basic,Basic,1,Total=1

basics,basics,1,Total=1

below,below,2,Total=2

biological,Biological,1,Total=1

biology,Biology,1,Total=1

biology3,Biology3,1,Total=1

blockchain,Blockchain,1,Total=1

bs,BS,10,Total=10

build,build,1,Total=1

by201,BY201,1,Total=1

calculus,Calculus,4,Total=4

centered,Centered,1,Total=1

centric,Centric,1,Total=1

ch100,CH100,1,Total=1

chemistry,Chemistry,1,Total=1

chemistry21,Chemistry21,1,Total=1

choice,choice,1,Total=1

click,Click,1,Total=1

combining,combining,1,Total=1

communication,Communication,1,communication,1,Total=2

communications,Communications,1,Total=1

compiler,Compiler,1,Total=1

compulsory,compulsory,1,Total=1

computational,computational,1,Total=1

computer,Computer,16,computer,1,Total=17

computerbased,computerbased,1,Total=1

computing,Computing,6,computing,1,Total=7

computing3,Computing3,1,Total=1

consolidate,consolidate,1,Total=1

construction21,Construction21,1,Total=1

construction3,Construction3,1,Total=1

contact,Contact,1,Total=1

core,Core,2,core,3,Total=5

council,Council,1,Total=1

course,Course,5,course,1,Total=6

courses,Courses,7,courses,16,Total=23

credit,Credit,14,credit,2,Total=16

cryptography,Cryptography,1,Total=1

cs,CS,3,Total=3

cs101,CS101,1,Total=1

cs103,CS103,1,Total=1

cs105,CS105,1,Total=1

cs121,CS121,1,Total=1

cs211,CS211,1,Total=1

cs212,CS212,1,Total=1

cs213,CS213,1,Total=1

cs222,CS222,1,Total=1

cs223,CS223,1,Total=1

cs225,CS225,2,Total=2

cs311,CS311,1,Total=1

cs312,CS312,1,Total=1

cs322,CS322,3,Total=3

cs324,CS324,2,Total=2

cs331,CS331,1,Total=1

cs332,CS332,1,Total=1

cs411,CS411,1,Total=1

cs414,CS414,1,Total=1

cs416,CS416,1,Total=1

cs423,CS423,1,Total=1

cs425,CS425,1,Total=1

cs431,CS431,1,Total=1

cs442,CS442,1,Total=1

cs443,CS443,1,Total=1

cs444,CS444,1,Total=1

cs445,CS445,1,Total=1

cs446,CS446,1,Total=1

cs447,CS447,1,Total=1

cs448,CS448,1,Total=1

cs449,CS449,1,Total=1

cs450,CS450,1,Total=1

cs451,CS451,1,Total=1

cs452,CS452,1,Total=1

cs454,CS454,1,Total=1

cs455,CS455,1,Total=1

cs456,CS456,1,Total=1

cs457,CS457,1,Total=1

cs458,CS458,1,Total=1

cs459,CS459,1,Total=1

cs460,CS460,1,Total=1

cs461,CS461,1,Total=1

cs462,CS462,1,Total=1

cs464,CS464,1,Total=1

cs466,CS466,1,Total=1

cs471,CS471,1,Total=1

cs472,CS472,1,Total=1

cs473,CS473,1,Total=1

cs474,CS474,1,Total=1

cs475,CS475,1,Total=1

cs476,CS476,1,Total=1

cs477,CS477,1,Total=1

cs478,CS478,1,Total=1

cs479,CS479,1,Total=1

cs480,CS480,1,Total=1

cs481,CS481,1,Total=1

cs482,CS482,1,Total=1

cs483,CS483,1,Total=1

cs484,CS484,1,Total=1

cs486,CS486,1,Total=1

cs487,CS487,1,Total=1

cs488,CS488,1,Total=1

cs489,CS489,1,Total=1

cs490,CS490,1,Total=1

cs491,CS491,1,Total=1

cs497,CS497,1,Total=1

current,current,1,Total=1

cyber,Cyber,1,Total=1

data,Data,4,Total=4

database,Database,1,Total=1

dbs,DBS,1,Total=1

deep,Deep,1,Total=1

demonstrate,demonstrate,1,Total=1

department,Department,1,department,2,Total=3

departments,departments,1,Total=1

design,Design,5,design,1,Total=6

details,Details,1,details,1,Total=2

developing,developing,1,Total=1

development,Development,4,development,1,Total=5

differential,Differential,2,Total=2

digital,Digital,1,Total=1

discipline,discipline,2,Total=2

discrete,Discrete,2,Total=2

divided,divided,2,Total=2

domains,domains,1,Total=1

ec201,EC201,1,Total=1

economics,Economics,1,Total=1

economics3,Economics3,1,Total=1

education,Education,1,Total=1

educational,Educational,1,Total=1

eight,eight,1,Total=1

elective,Elective,8,elective,3,Total=11

electricity,Electricity,2,Total=2

emerging,Emerging,1,Total=1

en101,EN101,1,Total=1

en102,EN102,1,Total=1

en201,EN201,1,Total=1

enable,enable,1,Total=1

enables,enables,1,Total=1

engineering,Engineering,4,Total=4

english,English,1,Total=1

english1,English1,1,Total=1

english13,English13,1,Total=1

english2,English2,1,Total=1

english23,English23,1,Total=1

english3,English3,1,Total=1

enrich,enrich,1,Total=1

enterprise,Enterprise,1,Total=1

entire,entire,1,Total=1

entrepreneurship,Entrepreneurship,1,Total=1

equations,Equations,2,Total=2

expertise,expertise,1,Total=1

extend,extend,1,Total=1

facilities,facilities,1,Total=1

faculty,Faculty,5,faculty,1,Total=6

fbs,FBS,1,Total=1

fee,fee,1,Total=1

field,field,1,Total=1

fields,fields,1,Total=1

final,final,1,Total=1

fns,FNS,1,Total=1

focus,Focus,1,focus,2,Total=3

formal,Formal,1,Total=1

foundation,Foundation,2,foundation,4,Total=6

frameworks,Frameworks,1,Total=1

fss,FSS,1,Total=1

future,future,1,Total=1

gained,gained,1,Total=1

game,Game,1,Total=1

geometryi,GeometryI,1,Total=1

geometryi3,GeometryI3,1,Total=1

geometryii,GeometryII,1,Total=1

geometryii3,GeometryII3,1,Total=1

graphics3,Graphics3,1,Total=1

hand,hand,1,Total=1

hour,hour,2,Total=2

hours,Hours,6,hours,2,Total=8

hours15,Hours15,3,Total=3

hours16,Hours16,2,Total=2

hours17,Hours17,1,Total=1

hours18,Hours18,2,Total=2

human,Human,2,Total=2

ict,ICT,1,Total=1

image,Image,1,Total=1

implement,implement,1,Total=1

indepth,indepth,1,Total=1

information,Information,7,Total=7

informed,informed,1,Total=1

initially,Initially,1,Total=1

intelligence,Intelligence,1,Total=1

intelligence3,Intelligence3,1,Total=1

interaction,Interaction,1,Total=1

interaction3,Interaction3,1,Total=1

interactive,Interactive,1,Total=1

interfaces,Interfaces,1,Total=1

introduction,Introduction,19,Total=19

introductory,Introductory,5,Total=5

introdution,Introdution,1,Total=1

irrespective,irrespective,1,Total=1

is101,IS101,1,Total=1

islamabad,Islamabad,1,Total=1

islamic,Islamic,2,Total=2

issues,issues,1,Total=1

knowledge,Knowledge,1,knowledge,6,Total=7

lab,lab,1,Total=1

language,Language,1,Total=1

language31,Language31,1,Total=1

learn,learn,1,Total=1

learning,Learning,2,learning,1,Total=3

